t,u,y
0.00000000,2.89896154,565.71429443
0.02000000,2.89896154,572.14288330
0.04000000,2.89896154,572.14288330
0.06000000,2.89896154,578.57147217
0.08000000,2.89896154,578.57147217
0.10000000,2.89896154,578.57147217
0.12000000,2.89896154,578.57147217
0.14000000,2.89896154,585.00006104
0.16000000,2.89896154,585.00006104
0.18000000,2.89896154,585.00006104
0.20000000,2.89896154,585.00006104
0.22000000,2.89896154,591.42864990
0.24000000,2.89896154,585.00006104
0.26000000,2.89896154,591.42864990
0.28000000,2.89896154,585.00006104
0.30000000,2.89896154,591.42864990
0.32000000,2.89896154,591.42864990
0.34000000,2.89896154,585.00006104
0.36000000,2.89896154,591.42864990
0.38000000,2.89896154,585.00006104
0.40000000,2.89896154,591.42864990
0.42000000,2.89896154,591.42864990
0.44000000,2.89896154,591.42864990
0.46000000,2.89896154,591.42864990
0.48000000,2.89896154,585.00006104
0.50000000,2.89896154,591.42864990
0.52000000,2.89896154,585.00006104
0.54000000,2.89896154,591.42864990
0.56000000,2.89896154,585.00006104
0.58000000,2.89896154,585.00006104
0.60000000,2.89896154,591.42864990
0.62000000,2.89896154,585.00006104
0.64000000,2.89896154,585.00006104
0.66000000,2.89896154,591.42864990
0.68000000,2.89896154,591.42864990
0.70000000,2.89896154,591.42864990
0.72000000,2.89896154,591.42864990
0.74000000,2.89896154,591.42864990
0.76000000,2.89896154,591.42864990
0.78000000,2.89896154,591.42864990
0.80000000,2.89896154,585.00006104
0.82000000,2.89896154,591.42864990
0.84000000,2.89896154,591.42864990
0.86000000,2.89896154,591.42864990
0.88000000,2.89896154,585.00006104
0.90000000,2.89896154,591.42864990
0.92000000,2.89896154,585.00006104
0.94000000,2.89896154,591.42864990
0.96000000,2.89896154,585.00006104
0.98000000,2.89896154,591.42864990
1.00000000,2.89896154,585.00006104
1.02000000,2.89896154,585.00006104
1.04000000,2.89896154,591.42864990
1.06000000,2.89896154,585.00006104
1.08000000,2.89896154,585.00006104
1.10000000,2.89896154,591.42864990
1.12000000,2.89896154,585.00006104
1.14000000,2.89896154,591.42864990
1.16000000,2.89896154,591.42864990
