u,y
-5.00000000,-630.12862793
-4.52693319,-619.84289062
-4.09862471,-611.48576782
-3.71083999,-605.05719727
-3.35974479,-581.14290771
-3.04186797,-573.17145752
-2.75406647,-560.44289429
-2.49349499,-547.32859131
-2.25757694,-522.25721680
-2.04397988,-500.40004395
-1.85059214,-473.52860413
-1.67550135,-451.15718750
-1.51697648,-423.90004883
-1.37345016,-395.10002014
-1.24350345,-359.74288574
-1.12585139,-338.01431580
-1.01933074,-303.68573730
-0.92288840,-276.04287170
-0.83557081,-239.65716217
-0.75651461,-213.42859589
-0.68493825,-180.00001526
-0.62013388,-149.91429810
-0.56146091,-119.82857788
-0.50833923,-89.74286469
-0.46024352,-59.91429047
-0.41669834,-39.72857346
-0.37727308,0.00000000
-0.34157801,0.00000000
-0.30926016,0.00000000
-0.28000000,0.00000000
0.28000000,0.00000000
0.30926016,0.00000000
0.34157801,0.00000000
0.37727308,6.17142883
0.41669834,20.95714390
0.46024352,51.94285919
0.50833923,79.84286133
0.56146091,119.95715042
0.62013388,150.81429779
0.68493825,209.18573212
0.75651461,253.54288208
0.83557081,299.70003113
0.92288840,343.80003113
1.01933074,371.57145996
1.12585139,408.21430908
1.24350345,430.20004517
1.37345016,458.74287292
1.51697648,484.07146423
1.67550135,511.71433167
1.85059214,533.44290161
2.04397988,557.87146729
2.25757694,575.22860596
2.49349499,587.18578125
2.75406647,597.72861572
3.04186797,620.48574951
3.35974479,631.15719360
3.71083999,647.87147705
4.09862471,653.01434448
4.52693319,660.85718750
5.00000000,675.51434814
