t,r,y,u
0.00000000,0.00000000,70.71428680,0.40802062
0.02000000,0.00000000,51.42857361,0.00000000
0.04000000,0.00000000,25.71428680,0.00000000
0.06000000,0.00000000,6.42857170,0.00000000
0.08000000,0.00000000,-6.42857170,0.00000000
0.10000000,0.00000000,0.00000000,0.00000000
0.12000000,0.00000000,0.00000000,0.00000000
0.14000000,0.00000000,0.00000000,0.00000000
0.16000000,0.00000000,0.00000000,0.00000000
0.18000000,0.00000000,0.00000000,0.00000000
0.20000000,0.00000000,0.00000000,0.00000000
0.22000000,0.00000000,0.00000000,0.00000000
0.24000000,0.00000000,0.00000000,0.00000000
0.26000000,0.00000000,0.00000000,0.00000000
0.28000000,0.00000000,0.00000000,0.00000000
0.30000000,0.00000000,0.00000000,0.00000000
0.32000000,0.00000000,0.00000000,0.00000000
0.34000000,0.00000000,0.00000000,0.00000000
0.36000000,0.00000000,0.00000000,0.00000000
0.38000000,0.00000000,0.00000000,0.00000000
0.40000000,0.00000000,0.00000000,0.00000000
0.42000000,0.00000000,0.00000000,0.00000000
0.44000000,0.00000000,0.00000000,0.00000000
0.46000000,0.00000000,0.00000000,0.00000000
0.48000000,0.00000000,0.00000000,0.00000000
0.50000000,0.00000000,0.00000000,0.00000000
0.52000000,0.00000000,0.00000000,0.00000000
0.54000000,0.00000000,0.00000000,0.00000000
0.56000000,0.00000000,0.00000000,0.00000000
0.58000000,0.00000000,0.00000000,0.00000000
0.60000000,0.00000000,0.00000000,0.00000000
0.62000000,0.00000000,0.00000000,0.00000000
0.64000000,0.00000000,0.00000000,0.00000000
0.66000000,0.00000000,0.00000000,0.00000000
0.68000000,0.00000000,0.00000000,0.00000000
0.70000000,0.00000000,0.00000000,0.00000000
0.72000000,0.00000000,0.00000000,0.00000000
0.74000000,0.00000000,0.00000000,0.00000000
0.76000000,0.00000000,0.00000000,0.00000000
0.78000000,0.00000000,0.00000000,0.00000000
0.80000000,0.00000000,0.00000000,0.00000000
0.82000000,0.00000000,0.00000000,0.00000000
0.84000000,0.00000000,0.00000000,0.00000000
0.86000000,0.00000000,0.00000000,0.00000000
