t,u,y
0.00000000,0.85426366,417.85717773
0.02000000,0.85426366,417.85717773
0.04000000,0.85426366,417.85717773
0.06000000,0.85426366,417.85717773
0.08000000,0.85426366,417.85717773
0.10000000,0.85426366,417.85717773
0.12000000,0.85426366,411.42858887
0.14000000,0.85426366,411.42858887
0.16000000,0.85426366,417.85717773
0.18000000,0.85426366,411.42858887
0.20000000,0.85426366,411.42858887
0.22000000,0.85426366,417.85717773
0.24000000,0.85426366,411.42858887
0.26000000,0.85426366,417.85717773
0.28000000,0.85426366,411.42858887
0.30000000,0.85426366,417.85717773
0.32000000,0.85426366,411.42858887
0.34000000,0.85426366,417.85717773
0.36000000,0.85426366,411.42858887
0.38000000,0.85426366,417.85717773
0.40000000,0.85426366,411.42858887
0.42000000,0.85426366,411.42858887
0.44000000,0.85426366,411.42858887
0.46000000,0.85426366,411.42858887
0.48000000,0.85426366,417.85717773
0.50000000,0.85426366,411.42858887
0.52000000,0.85426366,411.42858887
0.54000000,0.85426366,411.42858887
0.56000000,0.85426366,411.42858887
0.58000000,0.85426366,411.42858887
0.60000000,0.85426366,411.42858887
0.62000000,0.85426366,411.42858887
0.64000000,0.85426366,411.42858887
0.66000000,0.85426366,411.42858887
0.68000000,0.85426366,417.85717773
0.70000000,0.85426366,411.42858887
0.72000000,0.85426366,411.42858887
0.74000000,0.85426366,411.42858887
0.76000000,0.85426366,411.42858887
0.78000000,0.85426366,411.42858887
0.80000000,0.85426366,411.42858887
0.82000000,0.85426366,411.42858887
0.84000000,0.85426366,411.42858887
0.86000000,0.85426366,411.42858887
0.88000000,0.85426366,411.42858887
0.90000000,0.85426366,411.42858887
0.92000000,0.85426366,411.42858887
0.94000000,0.85426366,411.42858887
0.96000000,0.85426366,411.42858887
0.98000000,0.85426366,411.42858887
1.00000000,0.85426366,405.00003052
1.02000000,0.85426366,405.00003052
1.04000000,0.85426366,411.42858887
1.06000000,0.85426366,411.42858887
1.08000000,0.85426366,411.42858887
1.10000000,0.85426366,411.42858887
1.12000000,0.85426366,405.00003052
1.14000000,0.85426366,405.00003052
1.16000000,0.85426366,411.42858887
1.18000000,0.85426366,411.42858887
1.20000000,0.85426366,405.00003052
1.22000000,0.85426366,411.42858887
1.24000000,0.85426366,411.42858887
1.26000000,0.85426366,405.00003052
1.28000000,0.85426366,411.42858887
1.30000000,0.85426366,405.00003052
1.32000000,0.85426366,411.42858887
1.34000000,0.85426366,411.42858887
1.36000000,0.85426366,405.00003052
1.38000000,0.85426366,405.00003052
1.40000000,0.85426366,411.42858887
1.42000000,0.85426366,405.00003052
1.44000000,0.85426366,411.42858887
1.46000000,0.85426366,405.00003052
1.48000000,0.85426366,411.42858887
1.50000000,0.85426366,405.00003052
1.52000000,0.85426366,405.00003052
1.54000000,0.85426366,411.42858887
1.56000000,0.85426366,405.00003052
1.58000000,0.85426366,405.00003052
1.60000000,0.85426366,411.42858887
1.62000000,0.85426366,405.00003052
1.64000000,0.85426366,405.00003052
1.66000000,0.85426366,411.42858887
1.68000000,0.85426366,405.00003052
1.70000000,0.85426366,405.00003052
1.72000000,0.85426366,405.00003052
1.74000000,0.85426366,405.00003052
1.76000000,0.85426366,405.00003052
1.78000000,0.85426366,405.00003052
1.80000000,0.85426366,405.00003052
1.82000000,0.85426366,411.42858887
1.84000000,0.85426366,405.00003052
1.86000000,0.85426366,405.00003052
1.88000000,0.85426366,405.00003052
1.90000000,0.85426366,405.00003052
1.92000000,0.85426366,405.00003052
1.94000000,0.85426366,405.00003052
1.96000000,0.85426366,405.00003052
1.98000000,0.85426366,405.00003052
2.00000000,0.85426366,405.00003052
2.02000000,0.85426366,405.00003052
2.04000000,0.85426366,405.00003052
2.06000000,0.85426366,405.00003052
2.08000000,0.85426366,405.00003052
2.10000000,0.85426366,405.00003052
2.12000000,0.85426366,405.00003052
2.14000000,0.85426366,405.00003052
2.16000000,0.85426366,405.00003052
2.18000000,0.85426366,405.00003052
2.20000000,0.85426366,405.00003052
2.22000000,0.85426366,405.00003052
2.24000000,0.85426366,405.00003052
2.26000000,0.85426366,405.00003052
2.28000000,0.85426366,405.00003052
2.30000000,0.85426366,405.00003052
2.32000000,0.85426366,405.00003052
2.34000000,0.85426366,405.00003052
2.36000000,0.85426366,405.00003052
2.38000000,0.85426366,405.00003052
2.40000000,0.85426366,405.00003052
2.42000000,0.85426366,398.57144165
2.44000000,0.85426366,405.00003052
2.46000000,0.85426366,398.57144165
2.48000000,0.85426366,411.42858887
2.50000000,0.85426366,405.00003052
2.52000000,0.85426366,398.57144165
2.54000000,0.85426366,398.57144165
2.56000000,0.85426366,405.00003052
2.58000000,0.85426366,405.00003052
2.60000000,0.85426366,405.00003052
2.62000000,0.85426366,405.00003052
2.64000000,0.85426366,405.00003052
2.66000000,0.85426366,405.00003052
2.68000000,0.85426366,405.00003052
2.70000000,0.85426366,405.00003052
2.72000000,0.85426366,405.00003052
2.74000000,0.85426366,405.00003052
2.76000000,0.85426366,411.42858887
2.78000000,0.85426366,405.00003052
2.80000000,0.85426366,405.00003052
2.82000000,0.85426366,405.00003052
2.84000000,0.85426366,405.00003052
2.86000000,0.85426366,405.00003052
2.88000000,0.85426366,405.00003052
2.90000000,0.85426366,405.00003052
2.92000000,0.85426366,405.00003052
2.94000000,0.85426366,398.57144165
2.96000000,0.85426366,405.00003052
2.98000000,0.85426366,398.57144165
3.00000000,1.13343620,405.00003052
3.02000000,1.13343620,405.00003052
3.04000000,1.13343620,417.85717773
3.06000000,1.13343620,424.28576660
3.08000000,1.13343620,437.14291382
3.10000000,1.13343620,437.14291382
3.12000000,1.13343620,450.00006104
3.14000000,1.13343620,456.42858887
3.16000000,1.13343620,456.42858887
3.18000000,1.13343620,462.85714722
3.20000000,1.13343620,469.28573608
3.22000000,1.13343620,469.28573608
3.24000000,1.13343620,475.71432495
3.26000000,1.13343620,475.71432495
3.28000000,1.13343620,475.71432495
3.30000000,1.13343620,482.14288330
3.32000000,1.13343620,475.71432495
3.34000000,1.13343620,482.14288330
3.36000000,1.13343620,482.14288330
3.38000000,1.13343620,482.14288330
3.40000000,1.13343620,482.14288330
3.42000000,1.13343620,482.14288330
3.44000000,1.13343620,482.14288330
3.46000000,1.13343620,482.14288330
3.48000000,1.13343620,488.57147217
3.50000000,1.13343620,488.57147217
3.52000000,1.13343620,488.57147217
3.54000000,1.13343620,488.57147217
3.56000000,1.13343620,488.57147217
3.58000000,1.13343620,488.57147217
3.60000000,1.13343620,488.57147217
3.62000000,1.13343620,488.57147217
3.64000000,1.13343620,488.57147217
3.66000000,1.13343620,488.57147217
3.68000000,1.13343620,488.57147217
3.70000000,1.13343620,488.57147217
3.72000000,1.13343620,488.57147217
3.74000000,1.13343620,488.57147217
3.76000000,1.13343620,488.57147217
3.78000000,1.13343620,488.57147217
3.80000000,1.13343620,488.57147217
3.82000000,1.13343620,488.57147217
3.84000000,1.13343620,488.57147217
3.86000000,1.13343620,488.57147217
3.88000000,1.13343620,488.57147217
3.90000000,1.13343620,482.14288330
3.92000000,1.13343620,482.14288330
3.94000000,1.13343620,488.57147217
3.96000000,1.13343620,488.57147217
3.98000000,1.13343620,488.57147217
4.00000000,1.13343620,482.14288330
4.02000000,1.13343620,488.57147217
4.04000000,1.13343620,482.14288330
4.06000000,1.13343620,482.14288330
4.08000000,1.13343620,488.57147217
4.10000000,1.13343620,482.14288330
4.12000000,1.13343620,482.14288330
4.14000000,1.13343620,482.14288330
4.16000000,1.13343620,482.14288330
4.18000000,1.13343620,488.57147217
4.20000000,1.13343620,482.14288330
4.22000000,1.13343620,482.14288330
4.24000000,1.13343620,482.14288330
4.26000000,1.13343620,482.14288330
4.28000000,1.13343620,488.57147217
4.30000000,1.13343620,482.14288330
4.32000000,1.13343620,488.57147217
4.34000000,1.13343620,482.14288330
4.36000000,1.13343620,482.14288330
4.38000000,1.13343620,482.14288330
4.40000000,1.13343620,482.14288330
4.42000000,1.13343620,482.14288330
4.44000000,1.13343620,482.14288330
4.46000000,1.13343620,482.14288330
4.48000000,1.13343620,482.14288330
4.50000000,1.13343620,482.14288330
4.52000000,1.13343620,482.14288330
4.54000000,1.13343620,482.14288330
4.56000000,1.13343620,482.14288330
4.58000000,1.13343620,482.14288330
4.60000000,1.13343620,482.14288330
4.62000000,1.13343620,482.14288330
4.64000000,1.13343620,482.14288330
4.66000000,1.13343620,482.14288330
4.68000000,1.13343620,482.14288330
4.70000000,1.13343620,488.57147217
4.72000000,1.13343620,482.14288330
4.74000000,1.13343620,482.14288330
4.76000000,1.13343620,482.14288330
4.78000000,1.13343620,482.14288330
4.80000000,1.13343620,482.14288330
4.82000000,1.13343620,482.14288330
4.84000000,1.13343620,482.14288330
4.86000000,1.13343620,482.14288330
4.88000000,1.13343620,482.14288330
4.90000000,1.13343620,488.57147217
4.92000000,1.13343620,482.14288330
4.94000000,1.13343620,488.57147217
4.96000000,1.13343620,482.14288330
4.98000000,1.13343620,482.14288330
5.00000000,1.13343620,488.57147217
5.02000000,1.13343620,482.14288330
5.04000000,1.13343620,482.14288330
5.06000000,1.13343620,482.14288330
5.08000000,1.13343620,482.14288330
5.10000000,1.13343620,482.14288330
5.12000000,1.13343620,482.14288330
5.14000000,1.13343620,475.71432495
5.16000000,1.13343620,482.14288330
5.18000000,1.13343620,475.71432495
5.20000000,1.13343620,482.14288330
5.22000000,1.13343620,475.71432495
5.24000000,1.13343620,475.71432495
5.26000000,1.13343620,475.71432495
5.28000000,1.13343620,475.71432495
5.30000000,1.13343620,482.14288330
5.32000000,1.13343620,475.71432495
5.34000000,1.13343620,482.14288330
5.36000000,1.13343620,482.14288330
5.38000000,1.13343620,482.14288330
5.40000000,1.13343620,482.14288330
5.42000000,1.13343620,482.14288330
5.44000000,1.13343620,475.71432495
5.46000000,1.13343620,482.14288330
5.48000000,1.13343620,475.71432495
5.50000000,1.13343620,482.14288330
5.52000000,1.13343620,475.71432495
5.54000000,1.13343620,482.14288330
5.56000000,1.13343620,475.71432495
5.58000000,1.13343620,482.14288330
5.60000000,1.13343620,475.71432495
5.62000000,1.13343620,482.14288330
5.64000000,1.13343620,482.14288330
5.66000000,1.13343620,482.14288330
5.68000000,1.13343620,475.71432495
5.70000000,1.13343620,482.14288330
5.72000000,1.13343620,482.14288330
5.74000000,1.13343620,482.14288330
5.76000000,1.13343620,482.14288330
5.78000000,1.13343620,475.71432495
5.80000000,1.13343620,482.14288330
5.82000000,1.13343620,475.71432495
5.84000000,1.13343620,482.14288330
5.86000000,1.13343620,482.14288330
5.88000000,1.13343620,475.71432495
5.90000000,1.13343620,482.14288330
5.92000000,1.13343620,475.71432495
5.94000000,1.13343620,482.14288330
5.96000000,1.13343620,482.14288330
5.98000000,1.13343620,482.14288330
6.00000000,1.13343620,482.14288330
6.02000000,1.13343620,475.71432495
