t,r,y,u
0.00000000,50.00000000,31.18750000,100.00000000
0.80000000,50.00000000,33.06250000,100.00000000
1.60000000,50.00000000,36.37500000,100.00000000
2.40000000,50.00000000,39.56250000,100.00000000
3.20000000,50.00000000,42.50000000,100.00000000
4.00000000,50.00000000,45.31250000,70.31250000
4.80000000,50.00000000,47.87500000,31.87500000
5.60000000,50.00000000,49.50000000,7.50000000
6.40000000,50.00000000,49.75000000,3.75000000
7.20000000,50.00000000,49.12500000,13.12500000
8.00000000,50.00000000,48.31250000,25.31250000
8.80000000,50.00000000,47.87500000,31.87500000
9.60000000,50.00000000,47.87500000,31.87500000
10.40000000,50.00000000,48.18750000,27.18750000
11.20000000,50.00000000,48.50000000,22.50000000
12.00000000,50.00000000,48.68750000,19.68750000
12.80000000,50.00000000,48.68750000,19.68750000
13.60000000,50.00000000,48.56250000,21.56250000
14.40000000,50.00000000,48.50000000,22.50000000
15.20000000,50.00000000,48.50000000,22.50000000
16.00000000,50.00000000,48.56250000,21.56250000
16.80000000,50.00000000,48.62500000,20.62500000
17.60000000,50.00000000,48.62500000,20.62500000
18.40000000,50.00000000,48.56250000,21.56250000
19.20000000,50.00000000,48.56250000,21.56250000
20.00000000,50.00000000,48.56250000,21.56250000
20.80000000,50.00000000,48.62500000,20.62500000
21.60000000,50.00000000,48.62500000,20.62500000
22.40000000,50.00000000,48.56250000,21.56250000
23.20000000,50.00000000,48.62500000,20.62500000
24.00000000,50.00000000,48.62500000,20.62500000
24.80000000,50.00000000,48.62500000,20.62500000
25.60000000,50.00000000,48.68750000,19.68750000
26.40000000,50.00000000,48.68750000,19.68750000
27.20000000,50.00000000,48.68750000,19.68750000
28.00000000,50.00000000,48.68750000,19.68750000
28.80000000,50.00000000,48.68750000,19.68750000
29.60000000,50.00000000,48.62500000,20.62500000
30.40000000,60.00000000,48.56250000,100.00000000
31.20000000,60.00000000,48.87500000,100.00000000
32.00000000,60.00000000,51.06250000,100.00000000
32.80000000,60.00000000,53.68750000,94.68750000
33.60000000,60.00000000,56.25000000,56.25000000
34.40000000,60.00000000,58.25000000,26.25000000
35.20000000,60.00000000,59.18750000,12.18750000
36.00000000,60.00000000,59.06250000,14.06250000
36.80000000,60.00000000,58.37500000,24.37500000
37.60000000,60.00000000,57.75000000,33.75000000
38.40000000,60.00000000,57.56250000,36.56250000
39.20000000,60.00000000,57.56250000,36.56250000
40.00000000,60.00000000,57.68750000,34.68750000
40.80000000,60.00000000,57.81250000,32.81250000
41.60000000,60.00000000,57.81250000,32.81250000
42.40000000,60.00000000,57.75000000,33.75000000
43.20000000,60.00000000,57.75000000,33.75000000
44.00000000,60.00000000,57.75000000,33.75000000
44.80000000,60.00000000,57.81250000,32.81250000
45.60000000,60.00000000,57.87500000,31.87500000
46.40000000,60.00000000,57.81250000,32.81250000
47.20000000,60.00000000,57.81250000,32.81250000
48.00000000,60.00000000,57.81250000,32.81250000
48.80000000,60.00000000,57.93750000,30.93750000
49.60000000,60.00000000,57.93750000,30.93750000
50.40000000,60.00000000,58.00000000,30.00000000
51.20000000,60.00000000,58.06250000,29.06250000
52.00000000,60.00000000,58.06250000,29.06250000
52.80000000,60.00000000,58.00000000,30.00000000
53.60000000,60.00000000,57.93750000,30.93750000
54.40000000,60.00000000,57.93750000,30.93750000
55.20000000,60.00000000,57.93750000,30.93750000
56.00000000,60.00000000,58.06250000,29.06250000
56.80000000,60.00000000,58.12500000,28.12500000
57.60000000,60.00000000,58.06250000,29.06250000
58.40000000,60.00000000,58.06250000,29.06250000
59.20000000,60.00000000,58.00000000,30.00000000
60.00000000,60.00000000,57.93750000,30.93750000
60.80000000,60.00000000,58.00000000,30.00000000
